Text	dominant	non_dominant	preds
Give me the address of State Grill and bar. ; What time does Pouring Ribbons open 	 Location_Service 	 Location_Service	"GetWeather, Location_Service"
Is it going to rain tomorrow? ; I need the weather at Jo's place around 8 pm. 	 GetWeather 	 GetWeather	"GetWeather, GetWeather"
Get me a table at Delmonico's next monday at 8pm. ; table at Galli for 	 App_Service 	 App_Service	"GetWeather, GetWeather"
Is my Airbnb closer than John's hotel? ; What's the best hotel between Soho Grand and Paramount Hotel? 	 Location_Service 	 Location_Service	"Location_Service, App_Service"
Get me a table at Delmonico's next monday at 8pm. ; a table for 8 at Tavern on the Green for 	 App_Service 	 App_Service	"App_Service, App_Service"
"See if there's a table outside for noon at ; Also, I'd like a "	 App_Service 	 App_Service	"Location_Service, GetWeather"
Is it raining right now? ; Is it going to be sunny next week? 	 GetWeather 	 GetWeather	"GetWeather, GetWeather"
"Is there wifi ; Also, what's today's menu at The Water Club? "	 Location_Service 	 Location_Service	"GetWeather, Location_Service"
"Are there good tips to know when going to ; Also, show me photos of the bar I'm going to "	 Location_Service 	 Location_Service	"Location_Service, App_Service"
"bar near the hotel my sister stays in. ; Also, is there a place similar to Per Se in "	 Location_Service 	 Location_Service	"GetWeather, GetWeather"
"Book me a table for 8:45pm ; Also, I'd like a table in a peaceful "	 App_Service 	 App_Service	"Traffic_update, Location_Service"
"Book me a table for 8:45pm ; Also, book me a table for 4 at "	 App_Service 	 App_Service	"GetWeather, GetWeather"
"I need the weather at Jo's place around 8 pm. ; Also, what will the "	 GetWeather 	 GetWeather	"Location_Service, Traffic_update"
"Give me the address of the biggest Wallmart in Boston ; Also, show me the menu of the restaurant I booked "	 Location_Service 	 Location_Service	"Location_Service, GetWeather"
"Book a table for 3 people at ; Also, I need a reservation for five people at Galli "	 App_Service 	 App_Service	"GetWeather, Traffic_update"
How crowded is the bar near my place? ; How far is the NoMad Bar? 	 Location_Service 	 Location_Service	"GetWeather, Location_Service"
Book an Uber to home. ; Order a cab for 6 	 App_Service 	 App_Service	"Location_Service, App_Service"
Need a table for lunch to eat steak near ; - Book me a table for 4 at Delmonico's 	 App_Service 	 App_Service	"Location_Service, Location_Service"
What's it like outside? ; Should I take a rain coat today? 	 GetWeather 	 GetWeather	"Location_Service, App_Service"
What's the weather like at work? ; Is it cold outside? 	 GetWeather 	 GetWeather	"App_Service, App_Service"
"12:30 ; , I want to find a reservation at an old "	 App_Service 	 App_Service	"GetWeather, Location_Service"
the phone number of the place I'm going to today. ; Does it have wifi? 	 Location_Service 	 Location_Service	"Location_Service, Location_Service"
Share my time of arrival with my Airbnb host ; and send my ETA to my girlfriend 	 Traffic_update 	 Traffic_update	"Location_Service, Location_Service"
"Find me a table for four for dinner tonight, ; I want a table in a good japanese restaurant near "	 App_Service 	 App_Service	"Traffic_update, Traffic_update"
Book a table for four people at Tapestry for 9pm ; and make a reservation for 3 at the finest 	 App_Service 	 App_Service	"App_Service, App_Service"
Show me directions to my next meeting avoiding traffic ; and directions to Tulsa with 	 Location_Service 	 Location_Service	"GetWeather, Location_Service"
"Can I have a table at the Russian Tea Room ; Also, Book a table at Joan's on Third for my "	 App_Service 	 App_Service	"GetWeather, GetWeather"
Find me an outdoor table at Five leaves for 3 ; get a reservation at Ma Peche after the concert 	 App_Service 	 App_Service	"GetWeather, Location_Service"
Make a reservation at Delmonico's on Saturday 8pm for ; and a table for four for dinner tonight 	 App_Service 	 App_Service	"GetWeather, GetWeather"
Share my location with Steve for 3 days and ; with Hillary's sister 	 Location_Service 	 Location_Service	"GetWeather, GetWeather"
"to see photos of the place we're going to tonight ; , Is there a parking there? "	 Location_Service 	 Location_Service	"GetWeather, Location_Service"
Find a store near Sia's place where ; my aunt's place 	 Location_Service 	 Location_Service	"Location_Service, GetWeather"
What time does Employees Only close? ; Where can I get tickets for a concert there? 	 Location_Service 	 Location_Service	"GetWeather, GetWeather"
What's the weather like in 3 days? ; I want the weather in Paris 	 GetWeather 	 GetWeather	"Location_Service, Restaurant_Reservation"
Table for two at Nobu New York tonight and ; get me a table at Din Tai Fung for the 	 App_Service 	 App_Service	"GetWeather, Restaurant_Reservation"
"Book a Lyft car to go to 33 greene street, ; is there any Uber around? "	 App_Service 	 App_Service	"GetWeather, Restaurant_Reservation"
Are there some tips to know when going to Battery ; Show me the menu of the restaurant I booked for 	 Location_Service 	 Location_Service	"GetWeather, Restaurant_Reservation"
Book a table for 5 people at ; table at Seven Hills for sunset 	 App_Service 	 App_Service	"Restaurant_Reservation, Location_Service"
What will the weather be like when I land in ; How windy will it be tomorrow? 	 GetWeather 	 GetWeather	"GetWeather, Restaurant_Reservation"
Book a Lyft car to go ; and a taxi to go to 	 App_Service 	 App_Service	"Restaurant_Reservation, Location_Service"
What's the weather like at my parents'? ; Will it rain tomorrow near my all day event? 	 GetWeather 	 GetWeather	"Location_Service, GetWeather"
Where can I get tickets for a concert at ; Who is playing tonight there? 	 Location_Service 	 Location_Service	"GetWeather, Restaurant_Reservation"
Show me the parks with swings and ; I want to eat some fried chicken. Any suggestions? 	 Location_Service 	 Location_Service	"GetWeather, Restaurant_Reservation"
Directions to JFK airport at 7am ; . Quickest directions to go pick up my son there 	 Location_Service 	 Location_Service	"Location_Service, GetWeather"
"Book a taxi to go to Sebastian's, ; is there any Uber around? "	 App_Service 	 App_Service	"GetWeather, Location_Service"
Share my ETA with the Snips team ; and 	 Traffic_update 	 Traffic_update	"Traffic_update, Traffic_update"
Any traffic problems to go to my dinner? ; Is there any traffic on US 	 Traffic_update 	 Traffic_update	"Restaurant_Reservation, Restaurant_Reservation"
Get me a spot at Ippudo for lunch and ; book a table at Seven Hills for 6 people 	 App_Service 	 App_Service	"GetWeather, Traffic_update"
Show me veggie restaurants nearby and ; find me a place that sells burritos in South Harlem 	 Location_Service 	 Location_Service	"GetWeather, Location_Service"
What time does Employees Only close? ; How far is the NoMad Bar? 	 Location_Service 	 Location_Service	"Location_Service, Restaurant_Reservation"
Find a store near Sia's place where ; and find me a brunch spot in Lower 	 Location_Service 	 Location_Service	"Location_Service, Location_Service"
I want a table in a good japanese restaurant near ; Figure out if I can get a reservation at Ma 	 App_Service 	 App_Service	"GetWeather, Traffic_update"
I need a taxi to catch my flight tomorrow morning. ; Get an Uber to go there 	 App_Service 	 App_Service	"Traffic_update, Traffic_update"
Where can I eat the best burger in Soho? ; Find me a brunch spot in Lower Manhattan 	 Location_Service 	 Location_Service	"Restaurant_Reservation, Location_Service"
Driving directions to Tavern on the Green. ; Get me directions to Las Vegas avoiding toll 	 Location_Service 	 Location_Service	"GetWeather, GetWeather"
Is it going to be sunny next week? ; What will the weather be like at Jo's place this 	 GetWeather 	 GetWeather	"GetWeather, GetWeather"
Book for 4 at Nobu for tomorrow evening. I ; people at Katz's Delicatessen 	 App_Service 	 App_Service	"Location_Service, GetWeather"
Need a reservation for brunch for ; the area where I was yesterday afternoon 	 App_Service 	 App_Service	"GetWeather, GetWeather"
Find me an outdoor table at Five leaves for 3 ; I need reservations at Quince at 9:30 	 App_Service 	 App_Service	"GetWeather, GetWeather"
What's the best irish pub in hell's kitchen? Show me ; the cheapest cocktail bar near the hotel my sister stays 	 Location_Service 	 Location_Service	"GetWeather, Location_Service"
Find me a brunch spot in Lower Manhattan ; and a good expensive japanese restaurant near 	 Location_Service 	 Location_Service	"Location_Service, GetWeather"
What's the phone number of my hotel in Chicago next ; Does the Butcher's Daughter serve vegetarian food only? 	 Location_Service 	 Location_Service	"GetWeather, GetWeather"
Where can I eat the best burger in Soho? ; Find me a restaurant similar to the one I went 	 Location_Service 	 Location_Service	"Traffic_update, Traffic_update"
Book a restaurant for 6 near my morning meeting tomorrow ; for tomorrow evening 	 App_Service 	 App_Service	"GetWeather, Traffic_update"
"Show me photos of Mondrian Soho ; , Is there valet parking at there? "	 Location_Service 	 Location_Service	"Traffic_update, GetWeather"
Share my ETA with Jo ; and send my ETA to the guy I'm meeting with 	 Traffic_update 	 Traffic_update	"Location_Service, GetWeather"
and ; place next to the show tomorrow night 	 App_Service 	 App_Service	"GetWeather, GetWeather"
It is a beautiful day for a walk? ; What will the weather be like in London next week? 	 GetWeather 	 GetWeather	"GetWeather, Location_Service"
Is the weather good for a walk today? ; What will the weather be like when I get out 	 GetWeather 	 GetWeather	"GetWeather, GetWeather"
