Text	dominant	non_dominant	preds
Give me the address of State Grill and bar. ; What time does Pouring Ribbons open tonight? 	 GetPlaceDetails 	 GetPlaceDetails	"GetPlaceDetails, BookRestaurant"
Is it going to rain tomorrow? ; I need the weather at Jo's place around 8 pm. 	 GetWeather 	 GetWeather	"GetWeather, GetWeather"
"Get me a table at Delmonico's next monday at 8pm. ; Then, book a table at Galli "	 BookRestaurant 	 BookRestaurant	"BookRestaurant, BookRestaurant"
Is my Airbnb closer than John's hotel? ; What's the best hotel between Soho Grand and Paramount Hotel? 	 ComparePlaces 	 ComparePlaces	"ComparePlaces, ComparePlaces"
"Get me a table at Delmonico's next monday at 8pm. ; Also, book a table for 8 "	 BookRestaurant 	 BookRestaurant	"BookRestaurant, BookRestaurant"
"See ; Also, I'd like a table in a peaceful restaurant around "	 BookRestaurant 	 BookRestaurant	"GetPlaceDetails, GetPlaceDetails"
Is it raining right now? ; Is it going to be sunny next week? 	 GetWeather 	 GetWeather	"GetWeather, GetWeather"
"Is there wifi at the coffee place where I'm meeting ; Also, what's today's menu at The Water Club? "	 GetPlaceDetails 	 GetPlaceDetails	"GetPlaceDetails, GetPlaceDetails"
"Are there good tips to know when going to the ; Also, show me photos of the bar I'm going to "	 GetPlaceDetails 	 GetPlaceDetails	"SearchPlace, SearchPlace"
"Show me the cheapest cocktail bar near ; Also, is there a place similar to Per Se in "	 SearchPlace 	 SearchPlace	"SearchPlace, SearchPlace"
"Book me a table for 8:45pm at a ; Also, I'd like a table in a peaceful restaurant "	 BookRestaurant 	 BookRestaurant	"BookRestaurant, BookRestaurant"
"Book me a table for 8:45pm at a ; Also, book me a table for 4 at Delmonico's "	 BookRestaurant 	 BookRestaurant	"BookRestaurant, BookRestaurant"
"I need the weather at Jo's place around 8 pm. ; Also, what will the weather be like when I get "	 GetWeather 	 GetWeather	"GetWeather, GetWeather"
"Give me the address of the biggest Wallmart in Boston ; Also, show me the "	 GetPlaceDetails 	 GetPlaceDetails	"SearchPlace, SearchPlace"
"Book a table for 3 people ; Also, I need a reservation for five people at Galli "	 BookRestaurant 	 BookRestaurant	"BookRestaurant, BookRestaurant"
How crowded is the bar near my place? ; How far is the NoMad Bar? 	 GetPlaceDetails 	 GetPlaceDetails	"SearchPlace, GetPlaceDetails"
Book an Uber to home. ; Order a cab for 6 people 	 RequestRide 	 RequestRide	"RequestRide, RequestRide"
Need a table for lunch to eat steak near ; - Book me a table for 4 at 	 BookRestaurant 	 BookRestaurant	"BookRestaurant, BookRestaurant"
What's it like outside? ; Should I take a rain coat today? 	 GetWeather 	 GetWeather	"GetTrafficInformation, GetTrafficInformation"
What's the weather like at work? ; Is it cold outside? 	 GetWeather 	 GetWeather	"GetWeather, GetWeather"
"Get me a table at Din Tai Fung for the ; , I want to find a reservation at an old "	 BookRestaurant 	 BookRestaurant	"BookRestaurant, BookRestaurant"
Give me the phone number of the place I'm going ; Does it have wifi? 	 GetPlaceDetails 	 GetPlaceDetails	"GetPlaceDetails, GetPlaceDetails"
Share my time of arrival with my Airbnb host ; send my ETA to my girlfriend 	 ShareETA 	 ShareETA	"ShareETA, ShareCurrentLocation"
"Find me a table for four for dinner tonight, ; I want a table in a good japanese restaurant near "	 BookRestaurant 	 BookRestaurant	"BookRestaurant, SearchPlace"
Book a table for four people at Tapestry for 9pm ; and make a reservation for 3 at the 	 BookRestaurant 	 BookRestaurant	"BookRestaurant, BookRestaurant"
